TBM,,,32.502,TAG RT FT JN19027
10431,4978.855,4850.296,19.459,2.201
10432,4986.167,4850.465,19.458,2.201
10433,4986.282,4847.428,19.420,2.201
10434,5005.402,4847.583,19.416,2.201
10435,5023.248,4847.694,19.410,2.201
10436,5035.820,4847.663,19.423,2.201
10437,5049.194,4847.813,19.427,2.201E
10438,5054.793,4847.779,19.477,2.201
10439,5057.389,4848.198,19.446,2.201E
10440,5057.990,4840.505,19.292,2.201
10441,5049.158,4840.402,19.293,2.201
10442,5035.648,4840.161,19.339,2.201
10443,5024.127,4839.936,19.331,2.201
10444,5005.645,4839.803,19.292,2.201
10445,4986.614,4839.514,19.319,2.201
10446,4978.238,4839.421,19.298,2.201E
10447,5054.137,4941.781,28.957,2.101
10448,5056.002,4941.639,28.918,2.101
10449,5057.035,4938.169,32.695,156
10450,5056.947,4938.183,32.696,0.107
10451,5056.846,4924.644,31.934,0.107E
10452,5056.752,4924.734,31.951,156
10453,5056.853,4924.733,44.492,1502 TOP DECK RAIL
10454,5054.857,4927.175,30.381,1.203
10455,5055.452,4927.206,28.965,2.101
10456,5055.087,4904.051,29.006,2.101E
10457,5055.084,4904.046,29.009,156
10458,5055.209,4904.083,31.050,TW
10459,5054.533,4904.098,30.322,1.203
10460,5053.033,4904.154,30.305,1.203CC
10461,5052.859,4904.104,30.372,0.103E
10462,5059.546,4901.091,49.791,0.102E
10463,5059.547,4901.091,49.791,156
10464,5052.113,4867.425,29.873,2.101
10465,5052.305,4867.377,29.878,2.101
10466,5052.273,4867.606,29.880,2.101
10467,5052.327,4868.841,28.597,2.101
10468,5052.737,4881.131,28.614,2.101
10469,5059.084,4880.694,28.633,2.101E
10470,5060.818,4879.736,28.649,2.101
10471,5059.433,4879.845,28.639,2.101
10472,5059.020,4870.056,28.628,2.101
10473,5060.751,4869.813,28.648,2.101E
10474,5060.868,4869.532,28.650,2.101
10475,5056.749,4869.437,28.634,2.101
10476,5056.715,4868.706,28.645,2.101
10477,5056.601,4867.405,29.986,2.101
10478,5056.841,4863.940,29.951,2.101E
10479,5057.737,4868.355,30.003,TW
10480,5059.970,4874.852,29.286,159 POOL
10481,5060.692,4868.022,29.162,1.103
10482,5058.363,4868.106,29.153,1.103
10484,5058.268,4863.637,29.060,1.103E
10485,5053.667,4881.293,30.138,TW
10486,5054.807,4892.583,30.159,TW
10487,5055.063,4893.260,31.155,TW
10488,5054.407,4892.999,29.521,156
10489,5054.414,4893.025,29.519,1.103
10490,5053.977,4881.948,29.400,1.103
10491,5052.696,4882.053,29.497,1.103E
10492,5052.726,4882.067,29.511,156
